index,wer,wer_group,reference_entity_count,asr_entity_count,matched_entity_count,reference_only_count,asr_only_count
347,0.4,>30%,2,1,1,1,0
348,0.1,0–10%,3,2,1,2,1
349,0.32,>30%,3,2,2,1,0
350,0.294118,10–30%,5,3,2,3,1
351,0.25,10–30%,3,4,2,1,2
352,0.1875,10–30%,0,0,0,0,0
353,0.35,>30%,4,4,3,1,1
354,0.263158,10–30%,2,2,1,1,1
355,0.25,10–30%,4,2,2,2,0
356,0.333333,>30%,2,1,1,1,0
357,0.333333,>30%,2,1,0,2,1
358,0.086957,0–10%,1,1,1,0,0
359,0.153846,10–30%,7,6,4,3,2
360,0.269231,10–30%,5,5,1,4,4
361,0.333333,>30%,5,4,4,1,0
362,0.142857,10–30%,3,3,1,2,2
363,0.166667,10–30%,1,1,1,0,0
364,0.25,10–30%,4,4,2,2,2
365,0.45,>30%,3,2,0,3,2
366,0.222222,10–30%,3,1,1,2,0
367,0.241379,10–30%,4,2,2,2,0
368,0.666667,>30%,4,1,0,4,1
369,0.2,10–30%,3,2,1,2,1
370,0.210526,10–30%,3,4,2,1,2
371,0.235294,10–30%,5,4,3,2,1
372,0.210526,10–30%,2,2,1,1,1
373,0.25,10–30%,3,0,0,3,0
374,0.4,>30%,3,3,2,1,1
375,0.296296,10–30%,1,0,0,1,0
376,0.15,10–30%,3,2,2,1,0
377,0.178571,10–30%,4,4,2,2,2
378,0.090909,0–10%,1,2,0,1,2
379,0.263158,10–30%,2,1,1,1,0
380,0.1,0–10%,2,2,2,0,0
381,0.2,10–30%,3,2,2,1,0
382,0.222222,10–30%,1,0,0,1,0
383,0.222222,10–30%,2,3,2,0,1
384,0.454545,>30%,3,2,2,1,0
385,0.533333,>30%,1,0,0,1,0
386,0.272727,10–30%,2,1,1,1,0
387,0.148148,10–30%,1,2,1,0,1
388,0.222222,10–30%,1,1,0,1,1
389,0.615385,>30%,3,0,0,3,0
390,0.142857,10–30%,3,3,3,0,0
391,0.210526,10–30%,1,0,0,1,0
392,0.173913,10–30%,7,6,6,1,0
393,0.333333,>30%,3,2,1,2,1
394,0.277778,10–30%,2,1,1,1,0
395,0.217391,10–30%,4,4,2,2,2
396,0.28,10–30%,1,1,1,0,0
397,0.428571,>30%,3,1,1,2,0
398,0.15,10–30%,3,3,3,0,0
399,0.315789,>30%,6,5,3,3,2
400,0.5,>30%,1,1,1,0,0
401,0.5,>30%,1,1,0,1,1
402,0.157895,10–30%,5,4,4,1,0
403,0.259259,10–30%,2,1,0,2,1
404,0.294118,10–30%,2,1,1,1,0
405,0.142857,10–30%,4,2,1,3,1
406,0.210526,10–30%,0,0,0,0,0
407,0.333333,>30%,2,1,1,1,0
408,0.35,>30%,1,1,1,0,0
409,0.1,0–10%,0,1,0,0,1
410,0.444444,>30%,2,2,1,1,1
411,0.142857,10–30%,1,3,1,0,2
412,0.444444,>30%,3,4,3,0,1
413,0.2,10–30%,4,3,3,1,0
414,0.074074,0–10%,3,3,3,0,0
415,0.166667,10–30%,8,7,4,4,3
416,0.133333,10–30%,0,1,0,0,1
417,0.416667,>30%,1,2,0,1,2
418,0.055556,0–10%,2,2,2,0,0
419,0.166667,10–30%,1,0,0,1,0
420,0.333333,>30%,4,3,1,3,2
421,0.235294,10–30%,1,1,1,0,0
422,0.2,10–30%,5,4,3,2,1
423,0.068966,0–10%,2,3,2,0,1
424,0.6,>30%,3,0,0,3,0
425,0.294118,10–30%,0,0,0,0,0
426,0.25,10–30%,3,3,1,2,2
427,0.321429,>30%,3,4,2,1,2
428,0.266667,10–30%,3,2,2,1,0
429,0.368421,>30%,2,3,1,1,2
430,0.227273,10–30%,7,3,3,4,0
431,0.3,10–30%,2,1,1,1,0
432,0.304348,>30%,4,4,2,2,2
433,0.294118,10–30%,2,2,2,0,0
434,0.380952,>30%,3,3,2,1,1
435,0.384615,>30%,3,1,0,3,1
436,0.294118,10–30%,0,0,0,0,0
437,0.291667,10–30%,3,3,3,0,0
438,0.210526,10–30%,3,4,2,1,2
439,0.2,10–30%,2,2,2,0,0
440,0.206897,10–30%,3,3,3,0,0
441,0.222222,10–30%,1,1,0,1,1
442,0.137931,10–30%,6,5,3,3,2
443,0.888889,>30%,2,0,0,2,0
444,0.235294,10–30%,4,3,2,2,1
445,0.294118,10–30%,5,3,2,3,1
446,0.235294,10–30%,3,1,0,3,1
447,0.176471,10–30%,1,2,1,0,1
448,0.111111,10–30%,3,3,3,0,0
449,0.421053,>30%,2,1,1,1,0
450,0.416667,>30%,0,0,0,0,0
451,0.368421,>30%,3,3,1,2,2
452,0.277778,10–30%,7,3,3,4,0
453,0.074074,0–10%,2,2,2,0,0
454,0.2,10–30%,2,0,0,2,0
455,0.157895,10–30%,0,0,0,0,0
456,0.15,10–30%,3,3,1,2,2
457,0.166667,10–30%,8,7,7,1,0
458,0.235294,10–30%,3,4,1,2,3
459,0.777778,>30%,4,0,0,4,0
460,0.166667,10–30%,2,2,2,0,0
461,0.4,>30%,0,0,0,0,0
462,0.105263,10–30%,4,4,4,0,0
463,0.133333,10–30%,2,3,2,0,1
464,0.411765,>30%,3,1,1,2,0
465,0.190476,10–30%,3,2,2,1,0
466,0.157895,10–30%,1,1,1,0,0
467,0.388889,>30%,2,4,1,1,3
468,0.208333,10–30%,3,1,1,2,0
469,0.210526,10–30%,1,1,1,0,0
470,0.470588,>30%,4,5,3,1,2
471,0.222222,10–30%,2,2,2,0,0
472,0.222222,10–30%,0,0,0,0,0
473,0.269231,10–30%,4,1,0,4,1
474,0.222222,10–30%,7,7,4,3,3
475,0.178571,10–30%,3,4,3,0,1
476,0.388889,>30%,5,4,2,3,2
477,0.15,10–30%,4,4,4,0,0
478,0.176471,10–30%,4,4,3,1,1
479,0.3,10–30%,0,0,0,0,0
480,0.368421,>30%,4,3,3,1,0
481,0.222222,10–30%,1,1,1,0,0
482,0.235294,10–30%,3,2,1,2,1
483,0.4,>30%,4,3,1,3,2
484,0.388889,>30%,1,1,0,1,1
485,0.176471,10–30%,1,1,1,0,0
486,0.25,10–30%,4,5,4,0,1
487,0.388889,>30%,5,3,2,3,1
488,0.263158,10–30%,1,0,0,1,0
489,0.588235,>30%,5,0,0,5,0
490,0.294118,10–30%,2,2,2,0,0
491,0.388889,>30%,1,0,0,1,0
492,0.25,10–30%,2,1,1,1,0
493,0.227273,10–30%,4,3,3,1,0
494,0.25,10–30%,1,1,1,0,0
495,0.357143,>30%,4,2,2,2,0
496,0.3,10–30%,2,0,0,2,0
497,0.055556,0–10%,0,0,0,0,0
498,0.222222,10–30%,3,2,2,1,0
499,0.222222,10–30%,0,2,0,0,2
